METODE NEWTON-RAPHSON,,,,,,,,,,,,,,
i,x,y,deltaX,deltaY,,"f1?(x,y)","f2?(x,y)",J11?=2x+y,J12?=x,J21?=3y2,J22?=1+6xy,det J,?x=?[(J?1)(f)]x?,?y=?[(J?1)(f)]y?
52,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
53,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
54,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
55,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
56,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
57,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
58,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
59,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
60,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
61,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
62,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
63,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
64,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
65,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
66,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
67,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
68,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
69,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
70,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
71,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
72,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
73,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
74,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
75,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
76,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
77,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
78,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
79,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
80,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
81,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
82,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
83,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
84,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
85,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
86,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
87,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
88,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
89,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
90,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
91,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
92,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
93,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
94,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
95,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
96,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
97,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
98,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
99,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
